17.20568 37.46667
17.2048 37.45066
17.21381 37.39499
17.19942 37.46947
17.20655 37.41529
17.21583 37.48963
17.22842 37.47431
17.23337 37.42967
17.23683 37.3934
17.23904 37.32448
17.29179 37.34989
17.20865 37.44261
17.15792 37.51806
17.20595 37.51298
17.24707 37.4878
17.30127 37.45904
17.30628 37.43901
17.37244 37.32904
17.3819 37.2987
17.38796 37.24113
17.43833 37.19476
17.4673 37.21263
17.45884 37.23372
17.47198 37.18695
17.48662 37.16835
17.51573 37.13528
17.49751 37.21652
17.53172 37.25766
17.55406 37.26323
17.55822 37.33881
17.56824 37.38407
17.56525 37.37871
17.61487 37.2137
17.63563 37.15932
17.57658 37.27179
17.52791 37.33599
17.53275 37.36436
17.55598 37.37928
17.60527 37.28189
17.6206 37.25376
17.54865 37.30924
17.53842 37.30172
17.56574 37.1404
17.53854 37.24814
17.54076 37.16726
17.52304 37.09968
17.50816 37.1598
17.55369 37.1639
17.56132 37.12958
17.56197 37.13413
17.52775 37.17905
17.56112 37.21233
17.53147 37.25632
17.54675 37.25406
17.56397 37.1731
17.53246 37.0809
17.52062 37.01472
17.49728 37.01913
17.53188 37.04073
17.52242 37.04047
17.54261 37.06586
17.55805 37.01644
17.55411 36.9892
17.5553 37.04551
17.50919 37.07509
17.47338 37.08156
17.45217 37.15776
17.50017 37.12927
17.54308 37.06983
17.56248 37.0364
17.53414 37.04493
17.51097 37.05953
17.51096 37.02377
17.48028 37.07294
17.4849 36.99368
17.47641 37.0319
17.45076 37.00031
17.47842 36.94561
17.40381 37.06632
17.38628 37.10147
17.38979 37.05354
17.36632 37.08414
17.39613 37.0871
17.40682 37.03274
17.42651 37.01327
17.40815 37.02522
17.38561 37.10428
17.35359 37.13994
17.36026 37.16059
17.36047 37.05864
17.34237 37.11584
17.29325 37.10205
17.29388 37.08779
17.29034 37.03826
17.2971 37.03099
17.39904 36.88472
17.43444 36.84763
17.46035 36.77768
17.44591 36.8754
17.46421 36.78407
